Country,Year,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Population, total",Population growth (annual %),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)"
Pakistan,2011,"2,31E+16",2.680.116.854,1.161.044.321,796,198602738,2.110.834.578,64.648,68.7
Afghanistan,2012,19907329778,1.275.228.709,6.534.174.749,7.909,30466479,4.077.627.729,61.923,60.1
Bangladesh,2012,"1,33E+16",6.521.458.779,8.765.216.529,4.075,152090649,1.243.571.246,69.554,35.6
India,2012,"1,83E+17",5.456.387.552,1.434.017.987,8.156,1274487215,133.219.205,67.887,42.5
Sri Lanka,2012,70447216891,863.218.138,3.351.892.476,3.88,21017147,751.749.909,73.906,8.9
Nepal,2012,21703100877,4.670.141.924,7.940.925.641,10.654,27330694,235.525.469,67.47,35.2
Pakistan,2012,"2,50E+16",3.027.583.911,1.236.892.763,3.667,202205861,179.797.543,64.782,67.1
Afghanistan,2013,20146416758,5.600.744.659,638.733.181,7.919,31541209,3.466.788.304,62.417,58.1
Bangladesh,2013,"1,50E+16",6.013.605.658,9.738.286.176,4.426,154030139,1.267.157.297,69.565,34.1
India,2013,"1,86E+17",6.386.106.401,1.438.057.005,8.088,1291132063,1.297.548.835,68.46,40.5
Sri Lanka,2013,77000578167,4.051.746.329,3.643.832.447,4.186,21131756,543.830.441,74.239,8.4
Nepal,2013,22162204925,3.525.153.171,8.093.844.533,10.667,27381555,185.921.857,67.965,33.8
Pakistan,2013,"2,59E+16",436.686.505,1.259.668.368,2.954,205337562,1.536.897.649,65.15,65.5
Afghanistan,2014,20497128556,2.724.543.362,6.265.129.291,7.915,32716210,3.657.576.065,62.545,56.2
Bangladesh,2014,"1,73E+16",6.061.059.359,1.108.522.513,4.406,155961299,1.245.960.208,69.986,32.7
India,2014,"2,04E+17",7.410.227.605,1.559.863.779,7.992,1307246509,1.240.362.184,69.074,38.5
Sri Lanka,2014,82528535714,6.377.978.893,3.885.623.616,4.157,21239457,508.369.831,74.651,8
Nepal,2014,22731612922,6.011.482.843,8.277.447.084,10.647,27462106,293.747.924,68.085,32.4
Pakistan,2014,"2,71E+15",4.116.428.172,130.318.537,1.827,208251628,1.409.182.973,65.284,63.8
Afghanistan,2015,19134221645,1.451.314.661,5.668.811.297,9.011,33753499,3.121.341.229,62.659,54.6
Bangladesh,2015,"1,95E+16",6.552.639.878,1.236.435.456,4.382,157830000,1.191.061.127,70.491,31.4
India,2015,"2,10E+17",7.996.253.786,1.590.174.331,7.894,1322866505,118.779.532,69.636,36.5
Sri Lanka,2015,85140955389,4.205.955.476,3.990.353.117,4.519,21336697,456.782.306,74.927,7.5
Nepal,2015,24360801287,3.976.053.272,8.823.076.616,10.655,27610325,53.827.062,67.456,31
Pakistan,2015,"3,00E+16",4.217.942.096,1.421.835.278,3.566,210969298,1.296.551.724,65.697,62.2
Afghanistan,2016,18116572395,2.260.314.203,523.053.012,10.1,34636207,2.581.549.399,63.136,53
Bangladesh,2016,"2,65E+16",7.113.478.213,1.659.888.173,4.35,159784568,1.230.795.354,71.09,30.1
India,2016,"2,29E+16",8.256.305.502,1.714.279.537,7.8,1338636340,1.185.046.229,70.117,34.7
Sri Lanka,2016,88012282206,5.053.624.893,4.107.829.775,4.243,21425494,415.306.726,75.331,7.1
Nepal,2016,24524109484,433.113.719,8.802.248.936,10.684,27861186,904.474.047,68.776,29.7
Pakistan,2016,"3,14E+15",6.573.838.285,1.468.822.082,2.286,213524840,1.204.055.673,65.88,60.5
Afghanistan,2017,18753456498,2.647.003.203,526.140.801,11.184,35643418,2.866.492.148,63.016,51.5
Bangladesh,2017,"2,94E+16",6.590.249.998,181.547.222,4.372,161793964,1.249.724.066,71.788,28.9
India,2017,"2,65E+17",6.795.383.419,1.957.969.813,7.723,1354195680,1.155.624.491,70.467,32.9
Sri Lanka,2017,94376237797,6.460.681.271,4.388.201.906,4.046,21506813,378.824.726,75.403,6.8
Nepal,2017,28971588940,8.977.279.356,1.027.965.477,10.66,28183426,1.149.953.723,68.91,28.4
Pakistan,2017,"3,39E+16",4.432.625.907,1.567.640.612,3.193,216379655,1.328.135.434,66.297,58.9
Afghanistan,2018,18053222687,1.189.228.129,492.090.631,11.206,36686784,2.885.207.973,63.081,50.1
