Country,Year,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Population, total",Population growth (annual %),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)"
Pakistan,2014,"2,71E+15",4.116.428.172,130.318.537,1.827,208251628,1.409.182.973,65.284,63.8
Afghanistan,2015,19134221645,1.451.314.661,5.668.811.297,9.011,33753499,3.121.341.229,62.659,54.6
Bhutan,2015,2154921011,6.568.454.317,2.899.228.294,2.45,743274,93.496.965,70.343,25.5
Bangladesh,2015,"1,95E+16",6.552.639.878,1.236.435.456,4.382,157830000,1.191.061.127,70.491,31.4
India,2015,"2,10E+17",7.996.253.786,1.590.174.331,7.894,1322866505,118.779.532,69.636,36.5
Maldives,2015,4129505319,3.971.715.703,9.480.431.513,6.612,435582,4.422.534.092,79.695,8.4
Sri Lanka,2015,85140955389,4.205.955.476,3.990.353.117,4.519,21336697,456.782.306,74.927,7.5
Nepal,2015,24360801287,3.976.053.272,8.823.076.616,10.655,27610325,53.827.062,67.456,31
Pakistan,2015,"3,00E+16",4.217.942.096,1.421.835.278,3.566,210969298,1.296.551.724,65.697,62.2
Afghanistan,2016,18116572395,2.260.314.203,523.053.012,10.1,34636207,2.581.549.399,63.136,53
Bhutan,2016,2322730512,8.400.553.755,3.097.961.234,2.737,749761,868.973.711,70.602,24.6
Bangladesh,2016,"2,65E+16",7.113.478.213,1.659.888.173,4.35,159784568,1.230.795.354,71.09,30.1
India,2016,"2,29E+16",8.256.305.502,1.714.279.537,7.8,1338636340,1.185.046.229,70.117,34.7
Maldives,2016,4409942624,6.572.236.066,9.708.141.349,5.77,454252,4.196.904.224,79.872,7.7
Sri Lanka,2016,88012282206,5.053.624.893,4.107.829.775,4.243,21425494,415.306.726,75.331,7.1
Nepal,2016,24524109484,433.113.719,8.802.248.936,10.684,27861186,904.474.047,68.776,29.7
Pakistan,2016,"3,14E+15",6.573.838.285,1.468.822.082,2.286,213524840,1.204.055.673,65.88,60.5
Afghanistan,2017,18753456498,2.647.003.203,526.140.801,11.184,35643418,2.866.492.148,63.016,51.5
Bhutan,2017,2591358115,3.507.567.403,3.427.173.845,3.039,756121,84.469.272,70.847,23.6
Bangladesh,2017,"2,94E+16",6.590.249.998,181.547.222,4.372,161793964,1.249.724.066,71.788,28.9
India,2017,"2,65E+17",6.795.383.419,1.957.969.813,7.723,1354195680,1.155.624.491,70.467,32.9
Maldives,2017,4816426257,7.054.539.014,1.019.474.614,5.376,472442,3.926.287.795,79.943,7.1
Sri Lanka,2017,94376237797,6.460.681.271,4.388.201.906,4.046,21506813,378.824.726,75.403,6.8
Nepal,2017,28971588940,8.977.279.356,1.027.965.477,10.66,28183426,1.149.953.723,68.91,28.4
Pakistan,2017,"3,39E+16",4.432.625.907,1.567.640.612,3.193,216379655,1.328.135.434,66.297,58.9
Afghanistan,2018,18053222687,1.189.228.129,492.090.631,11.206,36686784,2.885.207.973,63.081,50.1
Bhutan,2018,2583335723,3.501.871.857,3.389.777.303,3.35,762096,787.111.572,71.129,22.9
Bangladesh,2018,"3,21E+16",731.941.263,1.963.312.441,4.532,163683958,1.161.378.463,72.567,27.8
India,2018,"2,70E+17",6.453.851.345,1.974.377.731,7.652,1369003306,1.087.527.722,70.71,31.3
Maldives,2018,5404344163,8.668.006.242,110.347.236,4.959,489758,3.599.640.348,80.013,6.5
Sri Lanka,2018,94493871201,2.310.084.252,4.360.584.735,4.318,21670000,755.904.689,75.748,6.5
Nepal,2018,33111525237,7.622.376.104,1.161.534.352,10.63,28506712,1.140.549.365,68.979,27.2
Pakistan,2018,"3,56E+16",6.151.702.611,1.620.742.591,4.083,219731479,1.537.172.403,66.482,57.3
