Country,Year,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Population, total",Population growth (annual %),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)"
Pakistan,2016,3140000000000000.0,-89.53333333333333,14705549.012470867,2.286,213524840,1.2113336036222673,65.88,60.5
Sri Lanka,2016,88012282206,3.3724390381587948,4107.829775406812,4.243,21425494,0.416170319145461,75.331,7.1
Afghanistan,2017,18753456498,3.515477923273024,526.1408010309225,11.184,35643418,2.907971418463921,63.016,51.5
Bangladesh,2017,2.94e+16,10.943396226415095,181712588.4869228,4.372,161793964,1.2575657494032841,71.788,28.9
India,2017,2.65e+17,1057.2052401746723,195688115.0292844,7.723,1354195680,1.1623276266353266,70.467,32.9
Nepal,2017,28971588940,18.135131303754868,1027.9654765889711,10.66,28183426,1.1565911085048568,68.91,28.4
Pakistan,2017,3.39e+16,979.6178343949044,156669073.16216952,3.193,216379655,1.3369943281540453,66.297,58.9
Sri Lanka,2017,94376237797,7.23075851629962,4388.201905926276,4.046,21506813,0.37954317412704697,75.403,6.8
Afghanistan,2018,18053222687,-3.7338919951886087,492.09063097490366,11.206,36686784,2.9272332973229447,63.081,50.1
Bangladesh,2018,3.21e+16,9.183673469387756,196109627.30996522,4.532,163683958,1.1681486461386161,72.567,27.8
India,2018,2.7e+17,1.8867924528301887,197223775.00233737,7.652,1369003306,1.0934627999994802,70.71,31.3
Nepal,2018,33111525237,14.289641847306978,1161.53435152395,10.63,28506712,1.1470784282932813,68.979,27.2
Pakistan,2018,3.56e+16,5.014749262536873,162015930.36198515,4.083,219731479,1.5490476680906067,66.482,57.3
Sri Lanka,2018,94493871201,0.12464303170574076,4360.584734702354,4.318,21670000,0.758768860825637,75.748,6.5
Afghanistan,2019,18799444490,4.1334548182211766,497.74143125382733,11.224,37769499,2.9512398797343478,63.565,48.8
Bangladesh,2019,3.51e+16,9.345794392523365,212063806.0479655,4.693,165516222,1.1193913089516079,72.806,26.7
India,2019,2.84e+17,5.185185185185185,205334050.84569973,6.51,1383112050,1.030585093415399,70.91,29.7
Nepal,2019,34186180699,3.245563151525082,1185.682318277266,10.578,28832496,1.1428326072821027,69.558,26
Pakistan,2019,3.21e+16,-9.831460674157304,143757125.1584463,4.83,223293280,1.620978940391149,66.756,55.7
Sri Lanka,2019,89014978344,-5.79814625791521,4082.694048708893,4.67,21803000,0.6137517305029996,76.008,6.2
Afghanistan,2020,19955929052,6.151695400442122,512.0550980018336,11.71,38972230,3.184397547873219,62.575,47.4
Bangladesh,2020,3.74e+16,6.552706552706552,223389007.0305478,5.828,167420951,1.1507808582049437,71.968,25.7
India,2020,2.67e+17,-5.985915492957746,191207720.8657911,7.859,1396387127,0.9597976534149927,70.15,28.1
Nepal,2020,33433659301,-2.2012444286354937,1139.1898946754818,13.157,29348627,1.7901016963637142,69.246,24.9
Pakistan,2020,3e+16,-6.5420560747663545,132044147.58748674,6.162,227196741,1.7481318739193583,66.269,54.1
Sri Lanka,2020,84304298771,-5.292007772889067,3846.174495688672,5.365,21919000,0.5320368756593129,76.393,6
Afghanistan,2021,14266499430,-28.5099711828741,355.7778263957756,11.934,40099462,2.8923979972405993,61.982,46.1
Bangladesh,2021,4.16e+16,11.229946524064172,245636046.82061604,5.815,169356251,1.1559485168615486,72.381,24.9
India,2021,3.17e+17,18.726591760299627,225211809.61111957,6.38,1407563842,0.8004023228151688,67.24,26.8
Nepal,2021,36924841394,10.44211781178131,1229.3942040065338,12.315,30034989,2.338651140307177,68.45,23.9
Pakistan,2021,3.49e+16,16.333333333333332,150819709.22504568,6.338,231402117,1.850984297349582,66.098,52.5
Sri Lanka,2021,88609332762,5.106541485736072,3999.338001534573,5.258,22156000,1.0812537068296912,76.399,5.7
Afghanistan,2022,14502158192,1.6518331154484194,352.60373308990927,14.1,41128771,2.566889800167394,62.879,44.8
Bangladesh,2022,4.6e+16,10.576923076923077,268712979.0915833,5.247,171186372,1.080633864527386,73.698,24.1
India,2022,3.35e+17,5.678233438485805,236386072.20516443,4.822,1417173173,0.682692373395025,67.744,25.5
Nepal,2022,41182939601,11.531798231885995,1348.1571895711543,10.922,30547580,1.7066462051975448,70.484,23
Pakistan,2022,3.75e+16,7.4498567335243555,159016312.70752105,5.548,235824862,1.91128113145136,66.431,51
Sri Lanka,2022,74144875098,-16.32385349616701,3342.7201252423247,6.33,22181000,0.11283625203105253,76.61,5.6
